job_role,skills
Data Scientist,"Python SQL Machine Learning Data Analysis Statistics Pandas NumPy Visualization"
DevOps Engineer,"AWS Docker Kubernetes CI/CD Automation Linux Cloud Computing Terraform"
Backend Developer,"Java Python SQL APIs Node.js Databases REST Microservices"
Frontend Developer,"JavaScript React CSS HTML UI Design TypeScript Web Design"
Cloud Architect,"AWS Azure Cloud Computing Networking Security Infrastructure Automation"
Data Analyst,"SQL Excel Data Analysis Visualization Statistics Python Reporting"
Machine Learning Engineer,"Python Machine Learning TensorFlow PyTorch Data Structures Algorithms Deep Learning"
Mobile Developer,"Java Kotlin Swift Flutter Mobile UI APIs Android iOS"
Cybersecurity Analyst,"Networking Security Linux Python Cryptography Risk Assessment Firewalls"
Systems Administrator,"Linux Networking Automation Cloud Computing Scripting Bash Windows Server"
Full Stack Developer,"JavaScript Python SQL React Node.js APIs Databases Web Design"
Database Administrator,"SQL Databases Data Structures Backup Security Performance Tuning"
